\\Hourly Demand Report,,,
\\Created at 2018-05-22 08:00:00,,,
\\For 2005,,,
Date,Hour,Market Demand,Ontario Demand
01/01/2005,1,16672,15016
01/01/2005,2,16262,14470
01/01/2005,3,16043,14015
01/01/2005,4,15192,13622
01/01/2005,5,14911,13545
01/01/2005,6,15006,13588
01/01/2005,7,15240,13727
01/01/2005,8,15663,14093
01/01/2005,9,16037,14457
01/01/2005,10,16597,15017
01/01/2005,11,16929,15560
01/01/2005,12,17273,16039
01/01/2005,13,17454,16293
01/01/2005,14,17435,16366
01/01/2005,15,17420,16281
01/01/2005,16,17440,16406
01/01/2005,17,17929,17086
01/01/2005,18,19367,18386
01/01/2005,19,19477,18368
01/01/2005,20,19251,18215
01/01/2005,21,19320,17911
01/01/2005,22,18778,17494
01/01/2005,23,18013,16830
01/01/2005,24,17272,15973
02/01/2005,1,16702,15182
02/01/2005,2,16127,14707
02/01/2005,3,15814,14394
02/01/2005,4,15697,14277
02/01/2005,5,15937,14367
02/01/2005,6,15881,14541
02/01/2005,7,16503,14968
02/01/2005,8,17239,15549
02/01/2005,9,17696,16282
02/01/2005,10,18516,17126
02/01/2005,11,19087,17802
02/01/2005,12,19694,18225
02/01/2005,13,19805,18495
02/01/2005,14,19813,18579
02/01/2005,15,19662,18393
02/01/2005,16,19800,18431
02/01/2005,17,20121,18985
02/01/2005,18,21339,20044
02/01/2005,19,20853,19619
02/01/2005,20,20364,19170
02/01/2005,21,20183,18714
02/01/2005,22,19456,18137
02/01/2005,23,18695,17236
02/01/2005,24,17926,16242
03/01/2005,1,17062,15487
03/01/2005,2,16581,15045
03/01/2005,3,16172,14843
03/01/2005,4,16255,14753
03/01/2005,5,16407,14828
03/01/2005,6,17036,15298
03/01/2005,7,18551,16332
03/01/2005,8,19608,18058
03/01/2005,9,20372,18706
03/01/2005,10,20603,19121
03/01/2005,11,20780,19484
03/01/2005,12,21060,19649
03/01/2005,13,21317,19682
03/01/2005,14,21356,19415
03/01/2005,15,20868,19360
03/01/2005,16,20875,19562
03/01/2005,17,21686,20498
03/01/2005,18,22867,21757
03/01/2005,19,22760,21494
03/01/2005,20,22345,20985
03/01/2005,21,21922,20461
03/01/2005,22,21072,19666
03/01/2005,23,19935,18429
03/01/2005,24,18490,17109
04/01/2005,1,17594,16141
04/01/2005,2,17313,15590
04/01/2005,3,16990,15338
04/01/2005,4,16981,15253
04/01/2005,5,16921,15443
04/01/2005,6,17814,16040
04/01/2005,7,19246,17478
04/01/2005,8,20982,19354
04/01/2005,9,21624,19959
04/01/2005,10,21667,19955
04/01/2005,11,21834,20017
04/01/2005,12,21967,19987
04/01/2005,13,21602,19856
04/01/2005,14,21754,19753
04/01/2005,15,21760,19693
04/01/2005,16,21826,20092
04/01/2005,17,22600,20923
04/01/2005,18,23656,22222
04/01/2005,19,23637,22118
04/01/2005,20,22799,21632
04/01/2005,21,22369,21102
04/01/2005,22,21850,20333
04/01/2005,23,20637,19120
04/01/2005,24,18845,17735
05/01/2005,1,18245,16579
05/01/2005,2,17783,16222
05/01/2005,3,17723,16047
05/01/2005,4,17722,15921
05/01/2005,5,17650,16204
05/01/2005,6,18785,16817
05/01/2005,7,20355,18194
05/01/2005,8,22344,20046
05/01/2005,9,22346,20553
05/01/2005,10,22529,20598
05/01/2005,11,22679,20748
05/01/2005,12,22658,20833
05/01/2005,13,22696,20805
05/01/2005,14,22898,20820
05/01/2005,15,22880,20791
05/01/2005,16,22914,20915
05/01/2005,17,23679,21896
05/01/2005,18,24826,23125
05/01/2005,19,24539,23089
05/01/2005,20,24152,22602
05/01/2005,21,23696,22127
05/01/2005,22,23035,21388
05/01/2005,23,21950,20053
05/01/2005,24,20218,18662
06/01/2005,1,19133,17764
06/01/2005,2,18911,17396
06/01/2005,3,19002,17161
06/01/2005,4,18874,17027
06/01/2005,5,18907,17062
06/01/2005,6,19380,17629
06/01/2005,7,20554,18970
06/01/2005,8,22227,20797
06/01/2005,9,23081,21445
06/01/2005,10,23344,21529
06/01/2005,11,23660,21799
06/01/2005,12,23952,22008
06/01/2005,13,23848,21888
06/01/2005,14,23469,21745
06/01/2005,15,23173,21607
06/01/2005,16,23124,21558
06/01/2005,17,23803,22187
06/01/2005,18,24913,23199
06/01/2005,19,24721,23233
06/01/2005,20,24226,22720
06/01/2005,21,23698,22201
06/01/2005,22,23132,21347
06/01/2005,23,21804,20016
06/01/2005,24,20351,18706
07/01/2005,1,19185,17777
