Date,Hour,Ontario Demand
01/01/2005,1,15016
01/01/2005,2,14470
01/01/2005,3,14015
01/01/2005,4,13622
01/01/2005,5,13545
01/01/2005,6,13588
01/01/2005,7,13727
01/01/2005,8,14093
01/01/2005,9,14457
01/01/2005,10,15017
01/01/2005,11,15560
01/01/2005,12,16039
01/01/2005,13,16293
01/01/2005,14,16366
01/01/2005,15,16281
01/01/2005,16,16406
01/01/2005,17,17086
01/01/2005,18,18386
01/01/2005,19,18368
01/01/2005,20,18215
01/01/2005,21,17911
01/01/2005,22,17494
01/01/2005,23,16830
01/01/2005,24,15973
02/01/2005,1,15182
02/01/2005,2,14707
02/01/2005,3,14394
02/01/2005,4,14277
02/01/2005,5,14367
02/01/2005,6,14541
02/01/2005,7,14968
02/01/2005,8,15549
02/01/2005,9,16282
02/01/2005,10,17126
02/01/2005,11,17802
02/01/2005,12,18225
02/01/2005,13,18495
02/01/2005,14,18579
02/01/2005,15,18393
02/01/2005,16,18431
02/01/2005,17,18985
02/01/2005,18,20044
02/01/2005,19,19619
02/01/2005,20,19170
02/01/2005,21,18714
02/01/2005,22,18137
02/01/2005,23,17236
02/01/2005,24,16242
03/01/2005,1,15487
03/01/2005,2,15045
03/01/2005,3,14843
03/01/2005,4,14753
03/01/2005,5,14828
03/01/2005,6,15298
03/01/2005,7,16332
03/01/2005,8,18058
03/01/2005,9,18706
03/01/2005,10,19121
03/01/2005,11,19484
03/01/2005,12,19649
03/01/2005,13,19682
03/01/2005,14,19415
03/01/2005,15,19360
03/01/2005,16,19562
03/01/2005,17,20498
03/01/2005,18,21757
03/01/2005,19,21494
03/01/2005,20,20985
03/01/2005,21,20461
03/01/2005,22,19666
03/01/2005,23,18429
03/01/2005,24,17109
04/01/2005,1,16141
04/01/2005,2,15590
04/01/2005,3,15338
04/01/2005,4,15253
04/01/2005,5,15443
04/01/2005,6,16040
04/01/2005,7,17478
04/01/2005,8,19354
04/01/2005,9,19959
04/01/2005,10,19955
04/01/2005,11,20017
04/01/2005,12,19987
04/01/2005,13,19856
04/01/2005,14,19753
04/01/2005,15,19693
04/01/2005,16,20092
04/01/2005,17,20923
04/01/2005,18,22222
04/01/2005,19,22118
04/01/2005,20,21632
04/01/2005,21,21102
04/01/2005,22,20333
04/01/2005,23,19120
04/01/2005,24,17735
05/01/2005,1,16579
05/01/2005,2,16222
05/01/2005,3,16047
05/01/2005,4,15921
05/01/2005,5,16204
05/01/2005,6,16817
05/01/2005,7,18194
05/01/2005,8,20046
05/01/2005,9,20553
05/01/2005,10,20598
05/01/2005,11,20748
05/01/2005,12,20833
05/01/2005,13,20805
05/01/2005,14,20820
05/01/2005,15,20791
05/01/2005,16,20915
05/01/2005,17,21896
05/01/2005,18,23125
05/01/2005,19,23089
05/01/2005,20,22602
05/01/2005,21,22127
05/01/2005,22,21388
05/01/2005,23,20053
05/01/2005,24,18662
06/01/2005,1,17764
06/01/2005,2,17396
06/01/2005,3,17161
06/01/2005,4,17027
06/01/2005,5,17062
06/01/2005,6,17629
06/01/2005,7,18970
06/01/2005,8,20797
06/01/2005,9,21445
06/01/2005,10,21529
06/01/2005,11,21799
06/01/2005,12,22008
06/01/2005,13,21888
06/01/2005,14,21745
06/01/2005,15,21607
06/01/2005,16,21558
06/01/2005,17,22187
06/01/2005,18,23199
06/01/2005,19,23233
06/01/2005,20,22720
06/01/2005,21,22201
06/01/2005,22,21347
06/01/2005,23,20016
06/01/2005,24,18706
07/01/2005,1,17777
07/01/2005,2,17262
07/01/2005,3,16965
07/01/2005,4,16845
07/01/2005,5,16915
07/01/2005,6,17476
07/01/2005,7,18737
07/01/2005,8,20510
07/01/2005,9,20993
07/01/2005,10,20865
07/01/2005,11,20778
07/01/2005,12,20714
07/01/2005,13,20603
07/01/2005,14,20455
07/01/2005,15,20351
07/01/2005,16,20485
07/01/2005,17,21094
07/01/2005,18,22063
07/01/2005,19,21881
07/01/2005,20,21245
07/01/2005,21,20803
07/01/2005,22,20119
07/01/2005,23,19103
07/01/2005,24,17773
08/01/2005,1,16754
08/01/2005,2,16151
08/01/2005,3,15746
08/01/2005,4,15487
08/01/2005,5,15518
08/01/2005,6,15686
08/01/2005,7,16048
08/01/2005,8,16966
08/01/2005,9,18034
08/01/2005,10,18856
08/01/2005,11,19221
08/01/2005,12,19338
08/01/2005,13,19111
08/01/2005,14,18799
08/01/2005,15,18628
08/01/2005,16,18715
08/01/2005,17,19320
08/01/2005,18,20464
08/01/2005,19,20350
08/01/2005,20,19780
08/01/2005,21,19195
08/01/2005,22,18656
08/01/2005,23,17868
08/01/2005,24,16962
09/01/2005,1,16103
09/01/2005,2,15503
09/01/2005,3,15105
09/01/2005,4,14835
09/01/2005,5,14759
09/01/2005,6,14970
09/01/2005,7,15332
09/01/2005,8,15931
09/01/2005,9,16664
09/01/2005,10,17572
09/01/2005,11,18183
09/01/2005,12,18560
09/01/2005,13,18683
09/01/2005,14,18650
09/01/2005,15,18556
